City,Country,Humidity,Lat,Long,Temp,cloudiness,wind
sheridan,US,34,39.65,-105.03,67.73,40,6.93
severiano melo,BR,65,-5.78,-37.96,74.08,0,11.65
moron,VE,91,10.49,-68.2,66.16,0,1.92
ondangwa,NA,27,-17.91,15.98,56.08,0,14.23
davila,PH,94,18.47,120.58,80.6,90,4.7
rorvik,NO,59,64.86,11.24,62.6,0,16.11
cabedelo,BR,94,-6.97,-34.84,73.4,75,8.05
rong kwang,TH,62,18.34,100.32,89.6,40,4.7
evensk,RU,100,61.92,159.24,51.31,92,6.62
hit,IQ,22,33.64,42.83,89.2,0,7.52
maniwaki,CA,78,46.38,-75.98,45.37,32,5.73
lata,IN,93,30.78,78.62,66.97,44,1.92
seybaplaya,MX,100,19.65,-90.67,77.14,20,9.19
doha,QA,75,25.29,51.53,93.2,20,8.05
peniche,PT,100,39.36,-9.38,61.7,90,3.36
vilyuysk,RU,58,63.75,121.63,45.01,32,9.64
bogorodskoye,RU,57,52.37,140.44,51.13,88,10.09
lazaro cardenas,MX,89,28.39,-105.62,58.96,0,3.38
borba,PT,85,38.81,-7.46,56.98,0,3.38
ostrovnoy,RU,88,68.05,39.51,49.51,12,11.65
praia da vitoria,PT,100,38.73,-27.07,69.8,0,5.73
kerman,IR,5,30.29,57.06,69.8,0,4.7
oistins,BB,78,13.07,-59.53,80.6,20,11.41
khandyga,RU,81,62.65,135.58,40.6,92,7.52
swan river,CA,94,52.11,-101.27,55.63,48,6.96
cobija,BR,77,-11.02,-68.77,80.47,64,1.59
tessalit,ML,96,20.2,1.01,68.95,44,2.37
kholmogory,RU,100,64.23,41.65,39.2,20,4.47
rocha,UY,93,-34.48,-54.34,47.89,24,7.85
benemerito de las americas,MX,100,16.52,-90.64,71.11,88,2.48
aguimes,ES,78,27.91,-15.45,71.6,75,20.8
dwarka,IN,79,28.58,77.04,84.2,75,7.63
cayenne,GF,100,4.94,-52.33,77.0,20,5.73
itororo,BR,93,-15.12,-40.07,55.0,0,2.37
tuensang,IN,91,26.24,94.81,73.27,92,2.37
san juan,AR,74,-31.54,-68.53,50.29,8,4.03
richards bay,ZA,97,-28.77,32.06,56.8,64,10.65
cao bang,VN,69,22.67,106.25,79.75,56,3.6
klos,AL,93,41.51,20.09,56.93,0,2.24
sturgis,US,67,44.41,-103.51,64.31,1,4.7
hwange,ZW,20,-18.35,26.5,55.0,0,6.73
lebedyn,UA,93,50.58,34.48,63.55,68,10.76
pilibhit,IN,95,28.63,79.81,85.51,12,4.38
monywa,MM,84,22.12,95.13,83.26,80,6.29
luanda,AO,88,-8.83,13.24,69.8,76,4.7
sambava,MG,100,-14.27,50.17,74.08,80,10.31
talcahuano,CL,93,-36.72,-73.12,44.6,0,4.7
salaya,IN,75,22.31,69.6,83.35,48,11.1
vardo,US,83,39.62,-77.74,57.34,90,8.05
clinton,US,89,41.84,-90.19,54.82,1,5.82
takoradi,GH,100,4.89,-1.75,75.61,92,5.17
makat,KZ,24,47.65,53.35,75.16,0,4.72
shamary,RU,81,57.34,58.22,49.42,0,5.17
ust-omchug,RU,100,61.13,149.63,38.8,92,3.71
ramshir,IR,22,30.89,49.41,87.73,0,9.17
blagoveshchenka,RU,75,52.83,79.87,64.36,20,17.81
lucapa,AO,98,-8.42,20.74,65.62,92,6.4
muravlenko,RU,87,63.79,74.5,38.8,68,21.27
magadan,RU,72,59.56,150.8,59.0,75,8.95
craig,US,46,40.52,-107.55,57.76,1,1.7
tari,NG,97,12.41,4.49,70.84,68,6.4
saint anthony,US,5,43.97,-111.68,61.54,1,4.7
ginda,IN,93,30.69,78.49,66.97,44,1.92
altay,CN,72,47.83,88.13,46.9,12,2.93
